RPG,"호러, 전차, 미술, 빌딩 건축, 코스프레, 댄스, 골프, 씨름, F1"
시뮬레이션,"스포츠, 미니 스커트, 수영"
테이블 게임,"무술, 미남, 레슬링"
액션 게임,"코미디, 전차, 재판, 탐정, 댄스, 골프, 핀볼, 모에"
어드벤쳐,"무술, 코미디, 전차, 닌자, 고리 던지기, 코스프레, 미니 스커트, 탁구"
슈팅,"무술, 판타지, 말 레이스, 시대극, 재판, 사냥, 송이 버섯, 사천성, 프로레슬링, 배구, F1"
액션 RPG,"댄스, 농구"
레이싱 게임,"무사, 던전, 전차, 게임 회사, 요괴, 미소녀, 여성향, 중세 말기, 대통령, 코스프레, 미니 스커트, 송이 버섯, 바둑, 피트니스, 야구, 모에"
온라인 RPG,"모험물, 수영복, 판쵸, 오셀로"
수집,"무술, 연애, 보물찾기, 수영복"
육성,"판타지, 미술"
보드 게임,"고리 던지기, 스노우 보드"
퍼즐,"스포츠, 판타지, 미술, 이집트, 미남"
리듬 게임,"편의점, 미소녀, 탐정, 중세 말기, 수영복, 바둑, 사천성, 농구, 탁구, 레슬링, F1, 모에"
사운드 노벨,"무술, 동물, 마을 개발, 미니 스커트, 수영, 야구"
체감 게임,"스포츠, 말 레이스, 연애, 코미디, 뇌 트레이닝, 헌책방, 빌딩 건축, 요괴, 미소녀, 여성향, 미스터리, 고리 던지기, 주식, 애니메이션, 코스프레, 수영복, 프로레슬링, 레슬링, 모에"